,Job Category,Job Title,Company Name,Location,Summary,Date,URL
0,Business Intelligence Manager,Senior Business Intelligence Manager - Section Head,THE BANK OF EAST ASIA 東亞銀行,Hong Kong,"Senior Business Intelligence Manager - Section Head (Job ID:. Proven track record in business intelligence analysis, customer segmentation, marketing campaign...",2 days ago,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0C1KiKFNLSTeoagfKR_iBMdGU9SgqzP7Goclj1knC2rZz8RByLEz8BsgzjaLoQa0qi_f5UJzjPf-mXeQu3IycVV5GWmgIdk_i9BUFB9IzF3BdTZOX1bXjDkxS2jizNsePL7GnMt6IzgKcr9FGRor49MxGNJ21bPxOq7arw5ZPrR8t5j806zHCS8ZOh8_8uoIT4i1Yxx-2V1Ep4uey4IkskzSBrie7AaSjMvrz4RvA8E_RNdeknvVzUSIuRgqL_rFK_H2FqZMzP95Hrzm3xZLqKh7DbUCnmqPSV32W0HsZsB6Ms_516KQlN7Igy4LhPBQgp49wXY1zsoQLqVeQIeAOYr2PrlTwZM2XDotv4WUJoeyNSKzBhdabmQiwl8esaBORecnsv9gKHFoJeQ78KnPOcdh3DoFWU4XdL9D6tzw8GnYUq299TDr-TCeMG4GT53cGKXjan2hRdMmLIRPCagcRZEOqJaYz8RUCHEjp50JQN0ABvNWe4w-bEbp37jyfk3K3A-gOhDN0Fgr_pG8ISBmTJi0dgOhos6T3hxKZeTj0_CbBYMWQ1yS5ZigknzWqPL8vQFJYnH3jLaaKxOhBwuilBYAKVHmenRhx7dJgLirer1LtDHbA7qeychuyNU1w1bgUPvP_G7m_cF59HX1A_LqklaLBkAdoJ6XtvXmVE88vsoRNVTbgYsb42rKiJJpXg7PB8nLxDf4BW6lEHwVkVJmerDBIyOvVLeAZNJK8hExUeN8TgOLjiA63Q5&vjs=3&p=1&sk=&fvj=0
1,Business Intelligence Manager,Senior Business Intelligence Officer,PRIMECREDIT,Hong Kong,Candidate will more experience will be considered as Assistant Business Intelligence Manager. Provide timely management information for senior management and...,4 days ago,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0C1KiKFNLSTeoagfKR_iBMdGU9SgqzP7Goclj1knC2rZz8RByLEz8BsgzjaLoQa0qgRgg7Or8IcM0x3DQJiGDltlhZj5vJGJykfDnWzaLwpmynvS0GVS_pV9-CjRIGocEco4mr7R_Es2ch4MVm4jv-446pBITMfNlUkDQc_OkVu5k0v540ght7m6RdujCwj1XJAlfnpxYMCHfx382ToI4mvxCZFIy6aE64NRxY9jk_Ivvj9XPeo7M8hIDvwTUqShu9qnwsohl7brjvIlqYgNERYP6v8sWPsa9hMhrR_l3YkVG3GhHTfJwfRSClNPQMC4Eujdj1Myc27U7MRt4l1Om-yTn6q02kd9ugE7TUhvbQMtu-WOEbj4b1w-fTSVYmTKYi6KGFoHDO_HLNiavi_X40tDDTJiD658KUUNtxuen6VCIvTozrMBuKF8zUuSDLW006myYVtyCDT6MvL8VxLuRUfB1cQLS0QFhKIFURAOUu8aLWJuRxmxXP_SnfUDzjS1lfBYRs8AxBc3eoT4E_r6NVM4Y5SZDwKr_lG_HEPNq8iGCMysenPrBKGsE5-irKBiJeCepjet3jBEbfcN1JFu3r6j48zZ_GNFkQOOIU0tV6bvbOVFAyWG7ktXQ93-mRswaRE0teGZ5o4_7oIycWoG7PmurBkhURSQY9clCB-ZTHUz5Nc_1pOB1F1sOM4wyG-QmUCnZUvQqAsAG5AOakQQNK_tpa7ZWN-2JA=&vjs=3&p=2&sk=&fvj=0
2,Business Intelligence Manager,Senior Business Intelligence Manager - Section Head,"The Bank of East Asia, Limited",Hong Kong,"Proven track record in business intelligence analysis, customer segmentation, marketing campaign management, CRM business applications, and market research....",4 days ago,https://www.indeed.hk/rc/clk?jk=7d774cda25d7bc1c&fccid=2dafaf7c9b6f8edd&vjs=3
3,Business Intelligence Manager,Bank Direct Channel MIS Business Intelligence Manager,Conners Recruitment,Hong Kong,Develop business intelligence solutions to better steering of resources for new business acquisition. It is now seeking a manager grade professional to join...,4 days ago,https://www.indeed.hk/rc/clk?jk=8350c6734e252584&fccid=5f9b20609e6ef115&vjs=3
4,Business Intelligence Manager,Bank Digital Marketing Business Intelligence Manager,Conners Recruitment,Hong Kong,It is now looking for a business intelligence professional to join them for business expansion. Proactively advice business and marketing teams with...,7 days ago,https://www.indeed.hk/rc/clk?jk=f99e107d1223f04a&fccid=5f9b20609e6ef115&vjs=3
5,Business Intelligence Manager,Senior Business Intelligence Manager - Section Head,Wealth Dimensions Consultancy Limited,Hong Kong,"Proven track record in business intelligence analysis, customer segmentation, marketing campaign management, CRM business applications, and market research....",30+ days ago,https://www.indeed.hk/rc/clk?jk=778d09403f675c15&fccid=f9a8af9a562a3f8f&vjs=3
6,Business Intelligence Manager,Senior Marketing Executive (UK Company),Robert Walters,Hong Kong,The role will directly report to regional Business Intelligence Manager. Explore new ideas which will commercially impact the business as a whole....,30+ days ago,https://www.indeed.hk/rc/clk?jk=1be2383debec885c&fccid=f01c2f55ec3054bf&vjs=3
7,Business Intelligence Manager,business intelligence manager,Randstad,Hong Kong,"The Business Intelligence Manager will be responsible for managing big data and advanced analytics initiatives, data integration/engineering, and business...",30+ days ago,https://www.indeed.hk/rc/clk?jk=c64d485fa0fb95bb&fccid=f8b265243da9f9d7&vjs=3
8,Business Intelligence Manager,Business Intelligence Manager- Banking,Hays,Hong Kong,Lead and coach junior staff of the Business Intelligence Team. Having business sense. Work on digital campaign to generate business insights. Your new role....,30+ days ago,https://www.indeed.hk/rc/clk?jk=9a633d626025bdbc&fccid=31670bef3ae6497b&vjs=3
9,Business Intelligence Manager,Business Analyst - FMCG / Retailer,Page Personnel,Hong Kong,Provide assistance to Business Intelligence Manager on special projects. Solid 2 years market research or business analytics experience....,,https://www.indeed.hk/rc/clk?jk=bb130c0038c0ab87&fccid=e5ea1ff710ce39ca&vjs=3
11,Business Intelligence Manager,Business Intelligence Manager,Terminal 1,Hong Kong,This Business Intelligence Manager will be responsible of overseeing all projects related to data visualisation and the data warehouse architecture....,,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9s9TFiKNzkgpJhS0gcoCqHHI5TivdIaTslmdEAeYW_cJLzPf_96EKoy82tLgdmUtqV-PScv3cxs8i2m6phbZ-PDtYSfL-lw2iemNdQ4-1_H4HaD1X0xI9f2eqrwcP3d9dRQ3wYjNNdxjO37c4y8JWwzafnGIzJzuegRDdOmOJaFPbWyB8amtpQ36x3-FAM66oS7Hiay0mYZ1dfEMfd9x9d0bDzJ-my2hYA3s3VSRZdTEG3Ex1UlkfQTf9ZoA-weqM9MEPjpG_gVaegpbPIziFq5nU9eEtxoW4j9bqaMrgo8urn9OEz7HSpoL-0hJfx2pNfPsPEOJJhk__pLBqjsbheykzVznJrCm6t5cV1oXI451nnsdSZrhdQJ3XtYD-90wFUu0Ai5FCeWW1bXUSmRsyIVUFMZSwnm1D9MLnHmrRByOxRaRiXg8NlGcHmzN-B-YWsvZ3BKhzfJa7NgZFdCBjPACywn_NM-R8LZRqdKRZ1O2BnaSb7DEqDxTJzXikQJ0jbmbfm3AZvyhoZXVDLfZT11_dGdfW52RVfUWcgmxTi4Bob8xBYP5JiwTt_3Sda985xMYGwI3wV0A6MeLKokQu44svTfyDSJBfsuaqAJOhGFxJqyYS7fLFj2H0bT6C71g7MUR_IU9erhJvMbGq59gxxYcj5LoW1WpPZNzhMjLBTN7wxN8A6c6axHBcOtcDK7ZauiK89iNsQWdBROMyLNF2k7lrQ0hOq32KsV6V34-DTZSXLnHjcWczeRIzFe1-9-svvElpmZ64BdpDRiUVjlAYJCry-ZmUSjngbgeGaqOo7SUwAsthYPghLs=&vjs=3&p=4&sk=&fvj=0
12,Business Intelligence Manager,Senior Business Intelligence Manager - up to 95 000 HKD,Nakama Hong Kong Limited,Hong Kong,"6+ years experience in business intelligence, analytics or a similar field. If you are interested in this role please send your CV in Word Format to Daisy Leeby...",,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcwYZiImY9rerWsi8_c83-eDrmHl1qvyfLCoHdAsrbDjml_uR9_GYWQBMVkw2ItMt9osTkU2Hzq774zfzWQflQtDT0BiEjEJCyIxNEoddes34AUMe3euSosKCNSFyrmJV_m4DfpASr83YIFpf4gZcnJuzTkl0dxLh9E_K6Dp9a--5gGQ8W2GGAv2ltJroR0XTjY03wfuYqwk8oDapc9zPpWQS9ZPccsbABcbSSgqGQiaHyZoo_JJnuTUG51XOc-zPBuyrLEQ8NGRgRzp6l5MtcBD5In55aOlStQC-qMbjmu6zis13D-SjIUckY3NrsAXdK3Lznh2ME3YCaPgR1FOLD31BF-Ev2dHEkwzmGB3zx55jwZ4XaxBKq1A_Q0ZQtX8sFpmA4ECaRhLEVKhzxXxGBkE37hW43c-NrwGITaNmLHVk8YXoy0iFsBYZCcvuZILbdVX1zlBVsUtbWtU5vOe4Dy4epfoirY3bGbDbfFiw3-7flXQQseXzeY9k5Wauamen-n3fV_TTRIqlnjEs7Uht7UEz_hsYwGikdk2ioEMfvC3ZYm7POhzyL48Is5K15t-A5R7dohiQj4N_3Blx1rQt1Xk&vjs=3&p=5&sk=&fvj=0
