,Job Category,Job Title,Company Name,Location,Summary,Date,URL
0,Business Intelligence,Head of BI and Analytics HKD1M+,AGA,Hong Kong,"Proven experience Big Data, Business Intelligence, Architectural-Level Designs, Data Modelling, Delivery, Migration....",Just posted,https://www.indeed.hk/company/AGA/jobs/Head-Bi-Analytic-5f7cb21b159e755b?fccid=f50ecd357503250c&vjs=3
1,Business Intelligence,Senior Solution Consultant (Network Infrastructure Solutions),Macroview Telecom Limited,Hong Kong,"Knowledge in Business Intelligence, Strong Analytical Mind in analyzing statistics data. Understand, analyze customer requirements by solution base selling...",Just posted,https://www.indeed.hk/rc/clk?jk=7cadfa0765a0de04&fccid=41899e1ee22d858e&vjs=3
2,Business Intelligence,"Pricing Analyst, Asia Corp.",C.H. Robinson Worldwide (Hong Kong) Limited,Hong Kong,Participate in market research and prepare regular rate analysis for business intelligence in sourcing and market price trend. C.H....,Just posted,https://www.indeed.hk/rc/clk?jk=30d4f215bac16ca7&fccid=090a7d416d718609&vjs=3
3,Business Intelligence,FP&A Supervisor (Leading FMCG Company),Michael Page,Hong Kong,"Familiar with Hyperion Planning, Smart view and Business Intelligence Tools. Strong business partnering opportunity....",Just posted,https://www.indeed.hk/rc/clk?jk=82a702369d961ff1&fccid=77087bd1709a8148&vjs=3
4,Business Intelligence,(SAP) System Analyst / Programmer,VITASOY INTERNATIONAL HOLDINGS LIMITED,Hong Kong,Experience in Business Intelligence / Data Warehousing & ETL implementation is an advantage. Strong business acumen and result-oriented....,Today,https://www.indeed.hk/rc/clk?jk=9a9f627f4559f8a5&fccid=b285a02aced68105&vjs=3
5,Business Intelligence,Business Systems Analyst,Orix Asia Limited,Hong Kong,"Experience with SharePoint, Business Intelligence tools, Data Mining and Data Warehousing. With at least 5 years’ of information technology experience in...",1 day ago,https://www.indeed.hk/rc/clk?jk=6e24271ecd487fcd&fccid=c4c58038d4793d6f&vjs=3
6,Business Intelligence,Regional Senior Business Planning Manager - US Fashion,Ambition,Hong Kong,Experience with business analytics management and business improvement projects at a regional level in multinational companies....,1 day ago,https://www.indeed.hk/rc/clk?jk=8c8ba7f2e39bafca&fccid=c9cd3dc1c74035d6&vjs=3
7,Business Intelligence,Senior Executive (Business Analytic),Chow Sang Sang Holdings International Limited,Hong Kong,Experience in business intelligence tool (Qilkview) is definitely an advantage. Involve in the Business Intelligence Tool management including dashboard...,1 day ago,https://www.indeed.hk/rc/clk?jk=697a2cd3718e71ac&fccid=ccbdcf2f7eb82996&vjs=3
8,Business Intelligence,System Analyst - ETL / Data Modeling / Data Warehouse,eCircle Executive Consultants,Hong Kong,"Keep abreast of the business strategy, business plan and latest industrial trends. As well as Extract/Transform/Load (ETL) data integration and Business...",1 day ago,https://www.indeed.hk/rc/clk?jk=ca393d51c97b6dac&fccid=7276dc7935ae705d&vjs=3
9,Business Intelligence,Senior AP (Enterprise Information System),Pacific Career Limited - IT Search,Hong Kong,We have a solid business foundation with a team of recruitment consultants who have good industry network and connections....,1 day ago,https://www.indeed.hk/rc/clk?jk=7c5c7f1bf4738223&fccid=ca09fdcb52832154&vjs=3
