,Job Category,Job Title,Company Name,Location,Summary,Date,URL
0,Data Analyst,"Data Analyst, Performance Analysis, Management Reporting, PM / BA 9 month contract, temp to perm, 45k",Michael Page,Hong Kong,"Are you looking for unlimited opportunities to develop and succeed? With work that challenges and makes a difference, within a flexible and supportive...",Just posted,https://www.indeed.hk/rc/clk?jk=a21a0100c30c0546&fccid=77087bd1709a8148&vjs=3
1,Data Analyst,IT Placement Intern (1-year),CargoSmart Limited,"Sha Tin, New Territories","Understand business intelligent and data analyst is an advantage. University year 3 or above in Computer Science, Information Engineering, Systems Engineering...",1 day ago,https://www.indeed.hk/rc/clk?jk=205f92fdca799058&fccid=aa01596dcc430edf&vjs=3
2,Data Analyst,Data Analyst,Hong Kong Wing On Travel Service Ltd,Hong Kong,Plan and manage big data project. Undertake ad-hoc assignments and support business data analysis. At least 2 years working experience in data analysis....,1 day ago,https://www.indeed.hk/rc/clk?jk=223a9d37ae254d08&fccid=6d182143140f37bd&vjs=3
3,Data Analyst,Business System Analyst Trainee,CargoSmart Limited,"Sha Tin, New Territories","Understand business intelligent and data analyst is an advantage. Participate in Big Data Security Analytics through correlation of machine data, security...",1 day ago,https://www.indeed.hk/rc/clk?jk=0029374efe1ab83e&fccid=aa01596dcc430edf&vjs=3
4,Data Analyst,Assistant Product Manager / (Senior) Business Analyst,Pacific Career Limited - IT Search,Hong Kong,At least 1-2 years relevant experience on data analyst and web development project. Pacific Career devotes itself to the recruitment industry;...,1 day ago,https://www.indeed.hk/rc/clk?jk=d7e867694f194a3a&fccid=ca09fdcb52832154&vjs=3
5,Data Analyst,Data Analyst,Hang Lung Properties(恒隆地产有限公司),Hong Kong,Identify the data requirement for modelling and prepare the data set for training and testing. At least 3 years of concrete experience in business data analysis...,2 days ago,https://www.indeed.hk/rc/clk?jk=8c9b97df1788e5f1&fccid=86feda1f1e16a419&vjs=3
6,Data Analyst,Data Analyst,South China Morning Post Publishers Limited,Hong Kong,Manage data vendors that ensure they provide quality data. Work closely with data engineering and development team to build ETL pipelines....,2 days ago,https://www.indeed.hk/rc/clk?jk=73f12fa7402e6fe8&fccid=dd616958bd9ddc12&vjs=3
7,Data Analyst,Data Analyst,Digitas Hong Kong Limited,Hong Kong,Experience using Python/Pandas/Numpy or another coding language to analyze data and automate data handling. We believe that data should never exist in a vacuum;...,2 days ago,https://www.indeed.hk/rc/clk?jk=f9fa39f8884d2c73&fccid=d8bfff98130a5dee&vjs=3
8,Data Analyst,Market Data Engineer / Data Analyst,BAH Partners,Hong Kong,"Ideally looking for someone with 3 -5 years of experience working as a Data Analyst, or in Data Management. This role has many exciting facets to it, including...",2 days ago,https://www.indeed.hk/rc/clk?jk=5da569629c8b4c69&fccid=f249074318bc1466&vjs=3
9,Data Analyst,Data Analyst-Wanchai ( 14k-20K /5-day work ),IT-RecruitHK,Hong Kong,"Data analytics / ETL / SQL / BI; Work on all stages of data science projects from partnering with stakeholders across the business to identify opportunities,...",3 days ago,https://www.indeed.hk/rc/clk?jk=ab53c4cce17c4e06&fccid=45e92b5b982fb821&vjs=3
10,Data Analyst,Data Analyst,SAFE Investment,Hong Kong,0-3 years working experience in financial industry and/or data analytics areas. Develop or enhance data resources infrastructure and portfolio and risk analytic...,2 days ago,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9s9TFiKNzkgpJhS0gcoCqHEyu-YTdIcMMJSlX4Na4rfz5DrTe06lVaKRk52FxBAw3f2SmfIpkh0ky0gUeN8MuL9CMqIpxt1mRxHQ26ff7cKZjrRxxEzVQI4xC8yahwy-6qDAzuXXkxohXgDODIMBA08EeOJs5XuVZJgsiSNIgLvlmkSt6qBfyLYah2ss2zPx9FWYUhChyNi_AMMDARQVeA075TD7Du7L5rsv2eVWY3Na91kpQHeE-giwBaG_rJ0EyvAyBbvCorbRMzLGrkBH5ozEJ5vWOpiAOk9ha2HvKmWsFyOCGX9B_3zI6Y7UthICuroqALrgNm8SEL6dpL-C_LOu0Ezu_-CSwturGLFsXHRPM59D4EIyr-aJaKn3pAy_N2seQVHRQXE5aKejpui2ICEFZ1vuNpx7b_-3RcVyAvVORVobeRa65gNSCl6amVGN5T0BQRXkZOF55PUs43Yy-RZefBfdt9BXtN7BycQZ7CjoxckCYx0DD2gN7E-4qrHtU7afKyhZku8qwwJQ587sc8R7YDLv0Bfa_AJV4Qc3ALl9uEHQuzlQeGeE2hACnxJ8ffBd9ZiwP2o4go4QbO5Til5o3zWqPpZSR0cmzEbtszI-gQnnqOvb5A-xMuk69QaROCGxW7Fnid9kzG0mjAgqWOlyXDYeUs8iFbwZ0W2Zjb0NE98saEzYVSnVoC0dSR40CRDQ3ljaa2z-hdYwRCj7pG9QYwMY8GiSIp1RwHf3BAGgYAli8oVv3xxX8k9D_R4izxK-GeP3mohw&vjs=3&p=1&sk=&fvj=0
16,Data Analyst,Data Scientist,AXA,Hong Kong,Candidate with less experience will be offered as Data Analyst/ Senior Data Analyst grade. Big data/ Data Modelling....,3 days ago,https://www.indeed.hk/rc/clk?jk=b3b7b9e98a61c1fa&fccid=753062d67d31c43a&vjs=3
17,Data Analyst,Junior Data Analyst (3-month Contract),"The Dairy Farm Company, Limited 牛奶有限公司",Hong Kong,"Data cleaning, data analysis and grouping for large batch of data according to criteria provided by supervisor....",3 days ago,https://www.indeed.hk/rc/clk?jk=067b7765d240822a&fccid=00378d39f8f51d80&vjs=3
18,Data Analyst,Data Analyst / Sr. Data Analyst,PeopleLink Services Limited,Hong Kong,"Capability in handling voluminous data and writing efficient queries, and experience in various data transformation techniques to aggregate transactional data....",3 days ago,https://www.indeed.hk/rc/clk?jk=e042e0f1bd22071b&fccid=cb78fb7b69c03e80&vjs=3
19,Data Analyst,Data Analytics - SAS / MNC Bank,Robert Walters,Hong Kong Island,A regional private bank is now hiring a data analyst to join their data analytics team. Successful incumbent should possess previous data analytics experience....,3 days ago,https://www.indeed.hk/rc/clk?jk=8789d850c47519ec&fccid=f01c2f55ec3054bf&vjs=3
20,Data Analyst,"Data Analyst (Insurtech, A.I., Permanent)",Recruit Logic Limited,Hong Kong,Highly competent with quantitative data analysis and utilizing data to drive decision-making. Collaborate with our data engineers and data scientists team to...,3 days ago,https://www.indeed.hk/rc/clk?jk=87eed0218f14955b&fccid=6b9008aabb9a3353&vjs=3
21,Data Analyst,Project Analyst - 12 months contract,Advance Resources Personnel Consultants,Hong Kong,Business Analyst / Data Analyst. Managing end to end onboarding process for clients....,4 days ago,https://www.indeed.hk/rc/clk?jk=c90d08e3f82151b7&fccid=95912a7aa8332520&vjs=3
22,Data Analyst,Data Analyst,HCL Technologies,Hong Kong,To resolve the tickets raised as per the defined standards of time| cost and quality for increased customer satisfaction. (1.) To document all the defined...,4 days ago,https://www.indeed.hk/rc/clk?jk=5dbc677523dd8d85&fccid=92a79710d9899fa9&vjs=3
23,Data Analyst,Junior Data Analytics,Worldgroup Careers,"Causeway Bay, Hong Kong Island",The Junior Data Analyst will conduct operational reporting for clients to help make informed business decisions from large data sets....,4 days ago,https://www.indeed.hk/rc/clk?jk=4d455ac0f83cf446&fccid=e6a47b3c32c4e717&vjs=3
24,Data Analyst,Senior Data Analyst / Data Analyst,Sun Hung Kai Properties,Hong Kong,Senior Data Analyst / Data Analyst (Ref No. (Candidates with less experience will be considered for Data Analyst.)....,4 days ago,https://www.indeed.hk/rc/clk?jk=a22cb7544ea60645&fccid=d0c0bf161993feaa&vjs=3
25,Data Analyst,Data Analyst [Quarry Bay] $15-18K *5 days,Harman Recruitment,Hong Kong,"2 years' analyst experience. Harman, a Quality Talent Provider, offering World-Class Professional Recruitment Service which focuses on placing high caliber...",1 day ago,https://www.indeed.hk/rc/clk?jk=00d982f0b549ebb0&fccid=24bea70d71ac1e16&vjs=3
27,Data Analyst,Data Analyst,Prive Managers,Hong Kong,"Data Analysts are responsible for designing and creating the data warehouse and all related extraction, transformation and load of data functions in the company...",,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0C1KiKFNLSTeoagfKR_iBMdGU9SgqzP7Goclj1knC2rZz8RByLEz8BsgzjaLoQa0qgaiv3bcZJOpXcBRx0GJdmPq04QFJqbikF5LB7ths0TWGTRcDncbaKqM7YNMhzGrEK8LefqMeeDATeT0bvMEvVBG2cosDN85JOF2XGkuxpvDBnonH1ZmcFUrhkNvpTi_Gl2FIT5Rnlm5dc3Bt_LlIeVv0NiBif2GvdaDUf2FSiqsea49HNMyMK7OSILfQ1gTpDGtHLKYLyYXFAl9cCp7Eha9utSXAKO4Y1zf9F0nrvcX16Tk8ZgG9F0CGdRHx1iUGof1y8UqGibJCd1WzAL0HPKjDXwzKmQzp_5MuKei7tJ25eTWboPZnRCTPR14fDJnjDiN0l-v9uuGK6b9ZSm2HQjbNxS16TFegyt2dd7-9Z0XXVRPwEnerxJzzfzWkQT2VazSyTDf2MJQNDicD6vpQnu5DvSGUYnJW4FGyhWQe-4K9bWJOxFk_1vVLgKJmGGRNDehix6_Rx3doTvuXiu73E-4MxoaE9E2jUOFcQpekAOzZArsmH_oLAtqE3bFDD_m7qiGhjD44tk8AfOBwV_tX-vAiHtiDE76ih6tSDhY-P7Qx5HszSLN31m7Q4Dyyv-AVgNG9pSRdxuZQAJtQq3Zq-b&vjs=3&p=5&sk=&fvj=0
28,Data Analyst,Data Analyst,Andrew Found,Hong Kong,"Strong analytic, quantitative, and data interpretation skills. Ensure the flow of data through various stages of our clients' customer journeys....",,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0C1KiKFNLSTeoagfKR_iBMdGU9SgqzP7Goclj1knC2rZz8RByLEz8BsgzjaLoQa0qgwgXDFYeQZGw6g9xXj6id6PnKp44ZYJFcd1gEKFbPFaVospglwNfxk2i_TzddFzzmA8qoUl0V3ku3cXk9B6obvNMdW0N1MqVWOleApje-q_mbniI3lNdh0g0F1SVpdX86EyrFL9BImJZgjNyHyXge3YlXgDifeGcaHIRKRh7WOydE4tBIkUrqbyCbA4tXiJ6nvRHfaf6K2sg6A3bz50YNqVPdRifjoRs_SPk51oy45CnhHHzVTyOyfb1ogaVRG2LEOx23M1kqRkpGFb8-pVCfezKVTFOuCdVWxT1Xfjn_fjcQC8JPPms1AKevR9Ho_uk085CEeWNqDXZk5KjluJiMHYzTsNYgEAFy3KaASzSTQANm2CQMLs_qWY-M0e-cVR1QlxvemITMpKKuYc9PQaWj_XDNepfLCnOUykPSI8FgJ7roK6ne_pTVQG15jFlo-Ua8bEf73g3J4vq_gScpZ6fniZ0eHOmSdykEGtzntDqQgdjKH1ypXrAAF3iPDAKoPVsP2UF5l7ZL9-Zww5XdlnZS5DIgl2SHW_lq452T5ARwTfLsoFdk2RFdeHAZ0JwafjHkAyFfW_vOrdstFgnuSI9Iz&vjs=3&p=6&sk=&fvj=0
34,Data Analyst,Senior Data Analyst / Data Scientist,Conners Recruitment,Hong Kong,Responsible for the implementation of big data analytics projects. Minimum of 5 years' experience in data mining &/or machine learning;...,5 days ago,https://www.indeed.hk/rc/clk?jk=2ebe6ff344ad4752&fccid=5f9b20609e6ef115&vjs=3
35,Data Analyst,Data Analyst-Life Health,Munich Re,Hong Kong,Data Analyst-Life Health (m/f). Support clients with group reinsurance quotation;...,5 days ago,https://www.indeed.hk/rc/clk?jk=30c71e0079e0ef70&fccid=d4448c192a012f32&vjs=3
36,Data Analyst,Data Analyst,eTeam,Hong Kong,"MIS reporting, data analytics, database management:. Develop data tracking for online sales journey. Working experience in MIS reporting, data analytics,...",5 days ago,https://www.indeed.hk/company/eTeam/jobs/Data-Analyst-3c9a6085b528790f?fccid=66188b62244ce278&vjs=3
37,Data Analyst,Data Analyst,Hydrogen Group,Hong Kong,My client is an innovative insurance startup looking for a Data Analyst to join their expanding Hong Kong team....,5 days ago,https://www.indeed.hk/rc/clk?jk=95cb9228aa42de9a&fccid=251eba8a83187770&vjs=3
38,Data Analyst,Data Analyst (Renewable Contract),Peoplebank,"Sheung Wan, Hong Kong Island","Develop data tracking for online sales journey. Working experience in MIS reporting, data analytics, database management....",5 days ago,https://www.indeed.hk/rc/clk?jk=67f65b2900646f63&fccid=c90e910978217fed&vjs=3
39,Data Analyst,Senior Data Analyst / Data Analyst - Python,Venturenix Limited,Hong Kong,A rare opportunity has now arisen to join their data analyst team. Prepare reports and present data findings to provide business insights....,5 days ago,https://www.indeed.hk/rc/clk?jk=763e12ed26c15a94&fccid=994dad0d53767a7b&vjs=3
40,Data Analyst,Junior Data Analyst (In house IT support/analyst/Oracle/MS SQL/ERP/European Apparel Group),DNA Recruit Partners Limited,Hong Kong,Maintain application data. Maintain business applications data integrity. All applications applied through our system will be delivered directly to the...,5 days ago,https://www.indeed.hk/rc/clk?jk=a4947e9e66b67b39&fccid=4ae808fd63d30bf1&vjs=3
41,Data Analyst,Operation Analyst - Quantitative Finance,Robert Walters,Hong Kong,"Our client, a reputable Investment Bank is looking for a data analyst to join their operation team. Identify errors and make appropriate adjustments to ensure...",2 days ago,https://www.indeed.hk/rc/clk?jk=dc75344bed9f99dd&fccid=f01c2f55ec3054bf&vjs=3
42,Data Analyst,Senior Research Assistant/Research Assistant I/II (holding the functional title of Statistician/Data Analyst) (several posts) in Cancer Epidemiology in the School of Public Health,The University of Hong Kong 香港大學,"Pok Fu Lam, Hong Kong Island","Applicants should possess a Bachelor's degree or above in statistics, data analytics, biostatistics, public health, computer science, mathematics, biology or...",,https://www.indeed.hk/rc/clk?jk=12a2ffd92480539b&fccid=381c9d5f6b782096&vjs=3
50,Data Analyst,"Senior Analyst, Regional Health",Mercer,"Central and Western District, Hong Kong Island","The Health Data Analyst will be part of a dynamic regional consulting team that helps support multi-national clients manage their benefit provision in Asia,...",5 days ago,https://www.indeed.hk/rc/clk?jk=239e3db78c47d8dd&fccid=d9f4e1b2980098ea&vjs=3
51,Data Analyst,Funds Development Asst Manager - Excel Macro (VBA)/Access *2,Robert Walters,Hong Kong Island,A long-stand global banking institution is looking for some talented Senior / Data Analyst in Hong Kong to take on a critical role....,5 days ago,https://www.indeed.hk/rc/clk?jk=cbfbb25d49ae3ec9&fccid=f01c2f55ec3054bf&vjs=3
52,Data Analyst,"Assistant Product Manager/Senior Business Analyst - Web Development, Social Media",Infotech Services,"North Point, Hong Kong Island",At least 1 - 2 years' relevant experience in data analyst and web development project; Serve a permanent position for a publisher / media portal;...,6 days ago,https://www.indeed.hk/rc/clk?jk=4bdd0001d9c10620&fccid=e2c2b95d8a917e45&vjs=3
53,Data Analyst,Data Analyst,Collinson International (Hong Kong) Limited,Hong Kong,"Campaign data extraction, manipulation and analysis of customer data. Coordinate with internal Technology, Business Integration, and Data Services departments...",6 days ago,https://www.indeed.hk/rc/clk?jk=f93517e58b4ccdb8&fccid=6301cc69ad5f3287&vjs=3
54,Data Analyst,Business Analyst ($15K-$30K),STA PACIFIC LIMITED,Hong Kong,"With their current expanding, they are now looking for high calibre candidates to join their Data Analyst/ Marketing Analyst/ Business Analyst team....",6 days ago,https://www.indeed.hk/rc/clk?jk=9634ab5684f4ea84&fccid=8d584d190968a455&vjs=3
55,Data Analyst,Senior Data Analyst,Mirum Hong Kong / DesignerCity (HK) Ltd,Hong Kong,We are looking for a senior data analyst to expand and drive the agency’s data & analytics service offering and practice....,6 days ago,https://www.indeed.hk/rc/clk?jk=a18f13f138205c2c&fccid=a10df58b36798a31&vjs=3
56,Data Analyst,Data Analyst (Business Intelligence) - Top Tier Gaming Company,Gravitas Recruitment Group (Hong Kong) Limited,Hong Kong,Are you a Data Analyst who loves playing games? My client is an international gaming company and they are now searching for a talented Data Analyst to lead data...,6 days ago,https://www.indeed.hk/rc/clk?jk=1e53dac03a25a6e2&fccid=b85f72d1c3f02675&vjs=3
57,Data Analyst,Data Analyst - Supply Chain Management - HK$20-28k,Michael Page,Hong Kong,"Specialisation:IT Data Analysis. Now, they are looking for a Data Analyst to work on Business Intelligence section....",6 days ago,https://www.indeed.hk/rc/clk?jk=953d4bc8b191d045&fccid=77087bd1709a8148&vjs=3
58,Data Analyst,Technical Business Analyst (ERP/BI) - 30K,Michael Page,Hong Kong,"Act as a Data Analyst:. Act as a Business Analyst:. Experienced with SQL for data extraction. As a Technical Business Analyst (ERP/BI), you are required to:....",,https://www.indeed.hk/rc/clk?jk=183441ac9104bdd6&fccid=77087bd1709a8148&vjs=3
65,Data Analyst,Customer Service Executive - Supply Chain,CHEERY MOUNT CONSULTING COMPANY LIMITED,Hong Kong,"Experience in data analyst and process improvement is an advantage. Cheery Mount Consulting Company Limited Our client, a multinational company, is looking for...",13 days ago,https://www.indeed.hk/rc/clk?jk=cd279024685c5d3c&fccid=3d424f5387175e61&vjs=3
66,Data Analyst,Data Analyst,SOUTH CHINA MORNING POST PUBLISHERS LTD,Hong Kong,Manage data vendors that ensure they provide quality data. Work closely with data engineering and development team to build ETL pipelines....,10 days ago,https://www.indeed.hk/rc/clk?jk=96a9b7b420049f31&fccid=7205cf60d362cea1&vjs=3
67,Data Analyst,Data Analyst,CT Risk Solutions Limited,Hong Kong,IT (System Analyst). Perform data validation to maintain accuracy and integrity of data sets. IT (Product Management / Business Analyst)....,13 days ago,https://www.indeed.hk/rc/clk?jk=9f95abfde5bd4fed&fccid=360c253ba90b8332&vjs=3
68,Data Analyst,Data Analyst,SAFE Investment Company Limited,Hong Kong,0-3 years working experience in financial industry and/or data analytics areas. Develop or enhance data resources infrastructure and portfolio and risk analytic...,11 days ago,https://www.indeed.hk/company/SAFE-Investment-Company-Limited/jobs/Data-Analyst-a4904d1934ca6b0a?fccid=194950d97968efc8&vjs=3
69,Data Analyst,Data Analyst (at the rank of IT Technician),The University of Hong Kong 香港大學,"Pok Fu Lam, Hong Kong Island","Experience in Big Data, Data Warehousing, or Cloud server would be an advantage. Data Analyst (at the rank of IT Technician) in the Department of Geography (Ref...",13 days ago,https://www.indeed.hk/rc/clk?jk=51714ea090609dd5&fccid=381c9d5f6b782096&vjs=3
70,Data Analyst,Data Analyst - Top Software Company,Hays,Hong Kong,The company has been experiencing enormous growth and looking for a data analyst. In your new role you will be responsible for tracking marketing campaign...,10 days ago,https://www.indeed.hk/rc/clk?jk=37a7208b00ac1517&fccid=31670bef3ae6497b&vjs=3
71,Data Analyst,Senior Data Analyst / Data Analyst,TMF Hong Kong Limited,Hong Kong,"Performs all necessary testing to ensure completeness and accuracy of data files. Tracks and resolves any discrepancies that may occur before, during and post...",10 days ago,https://www.indeed.hk/rc/clk?jk=0d7998f04cec7399&fccid=edeab077bb868539&vjs=3
72,Data Analyst,Data/ Market Analyst [Digital platform/ SQL/ up to 25k],Six People Map,Hong Kong,They are now looking for data analyst to conduct marketing research under their marketing department. Develop focus groups and surveys to capture market...,9 days ago,https://www.indeed.hk/company/Six-People-Map/jobs/Data-58c438b9b5f209fc?fccid=ad390ca99f6faeb4&vjs=3
73,Data Analyst,Data Analyst (5-day work),ANDRE HK BUYING OFFICE LTD.,Hong Kong,Maintain application data. Properly maintenance of the application data. Ensure the data integrity for the business applications....,2 days ago,https://www.indeed.hk/rc/clk?jk=b10edebff3712f47&fccid=2150c2fd366e6bef&vjs=3
74,Data Analyst,"Manager, IFRS17 Data Analyst",HSBC,"Kowloon City, Kowloon","Working with Risk, Actuarial and Finance teams to capture data requirements related all data requirements. Make sure the data lake construct aimed at supporting...",,https://www.indeed.hk/rc/clk?jk=00e29b00d697f970&fccid=04c9b139c84ea1b5&vjs=3
81,Data Analyst,Data Analyst (Digital) - Global E-Commerce Pioneer,Page Personnel,Hong Kong,"They are currently looking for a data analyst to help evaluate, boost their business performance and smoothen their operations....",9 days ago,https://www.indeed.hk/rc/clk?jk=a2a32623170a919c&fccid=e5ea1ff710ce39ca&vjs=3
82,Data Analyst,Senior Analyst / Data Analyst - Python,Venturenix Limited,Hong Kong,A rare opportunity has now arisen to join their data analyst team. Prepare reports and present data findings to provide business insights....,10 days ago,https://www.indeed.hk/rc/clk?jk=8b290316dd60cbee&fccid=994dad0d53767a7b&vjs=3
83,Data Analyst,"Data Analyst(Listed Group)(5 days work, No Sat)(25K) (Technology Strategy and Development)",ASIAN AIM SERVICE LIMITED,Hong Kong,"The data science team focuses on emerging opportunities by drawing in new data sources, combining them with existing customer data preferences and using that...",13 days ago,https://www.indeed.hk/rc/clk?jk=d939f5d0186a4116&fccid=3ff4fc24b0878d25&vjs=3
84,Data Analyst,"Associate Data Analyst – Mkt & Sales Dept. (Ref: CP-M, S&O-ADA)","AEON CREDIT SERVICE (ASIA) CO., LTD.",Hong Kong,"Develop and manage data modeling. Develop effective risk data aggregation models. Knowledge in data analytics tools (SAS, Qlikview, PowerBI, etc.)....",13 days ago,https://www.indeed.hk/rc/clk?jk=c22cda3095bb82e5&fccid=b8a7ebd18ede534c&vjs=3
85,Data Analyst,Digital Data Analyst (Web/ App/ Google Analytics) - up to 35k,Page Personnel,New Territories,"Drive data tracking and evaluation of digital channels, provide recommendations for UX/ UI improvements. Collect and analyse data from different platforms...",19 days ago,https://www.indeed.hk/rc/clk?jk=fc22a76c5207a25a&fccid=e5ea1ff710ce39ca&vjs=3
86,Data Analyst,Senior Business Analyst,PEOBASE Limited,Hong Kong,Work with data analyst to identify new insight and initiate for new product solution. Previous exposure in Shipping or Logistics Industry or having Data...,20 days ago,https://www.indeed.hk/rc/clk?jk=c3402cf675751b7d&fccid=4e3be47709d0a343&vjs=3
