,Job Category,Job Title,Company Name,Location,Summary,Date,URL
0,data engineer,Equities AI Full Stack Developer,UBS,Hong Kong,Are you a talented data engineer that wants to get closer to the business? Data and how it can be used in investing?...,Just posted,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=0&vjk=a5e70419e8d1a004
1,data engineer,Market Data Engineer / Data Analyst,BAH Partners,Hong Kong,"This role has many exciting facets to it, including data vendor management, data operations (quality of data including cleansing, outages, troubleshooting), and...",2 days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=0&vjk=5da569629c8b4c69
2,data engineer,Edge Data Engineering - Data Engineer,Goldman Sachs,Hong Kong,"Engineer streaming data processing pipelines. Deep understanding of multidimensionality of data, data curation and data quality, such as traceability, security,...",3 days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=0&vjk=2f458409f433cf1e
3,data engineer,"Research Data Scientist /Big Data Engineer,AI Dept",SmartBlkTrade,Hong Kong,"Handle the tasks of data analytics, big data, data visualization, data warehousing and delivery of projects and products....",6 days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=0&vjk=af25aa05f0edbc76
4,data engineer,Data Engineer,Code Pilot,Hong Kong,"Code Pilot is replacing the crusty old resume with a data science based portfolio for engineers, and we're looking for a Data Engineer with data integration...",13 days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=0&vjk=4be76e166a9e598a
5,data engineer,Market Data Engineer,BAH Partners,Hong Kong,My client is a leading investment bank who is now actively looking for a Senior Market Data Engineer for their Hong Kong office....,12 days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=0&vjk=cefe9816f5e25714
6,data engineer,Data - Speech Analytics,Robert Walters,Hong Kong Island,"For Data Engineer, they should possess good spark / hadoop for building the data pipeline. A reputable retail bank is now hiring a data scientist as well as a...",9 days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=0&vjk=24074c092c848a4b
7,data engineer,"Senior Data Engineer - HSBC Operations, Services and Technology",HSBC,"Kowloon City, Kowloon",We are currently seeking a high caliber professional to join our team as Senior Data Engineer . Provide consultancy and expertise in the Data and System...,7 days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=0&vjk=1bb8ce1f79634b42
8,data engineer,Svc Info Developer II,Fruition Partners,Hong Kong,"Interacts with the Client and project roles (e.g., Project Manager, Business Analyst, Data Engineer) as required, to gain an understanding of the business...",9 days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=0&vjk=9243fa356e275375
9,data engineer,Data Engineer,Classy Wheeler,"Kwun Tong, Kowloon",Build ETL flows for streaming data transformations for data analyses. Support data scientist development....,17 days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=0&vjk=076f2353e5e862df
16,data engineer,Junior Data Engineer,Ztore HK Limited 士多,Hong Kong,We are looking for a passionate developer to join our new data team as junior data engineer. Working with data streams....,17 days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=10&vjk=77176d513aca9fa5
17,data engineer,Data Engineer (5-days work),Hotmob Limited,Hong Kong,Build ETL flows for streaming data transformations for data analyses. Support data scientist development....,17 days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=10&vjk=daec80bbb0559967
18,data engineer,Data Engineer,Salt Recruitment,Hong Kong,"Our Client is The Leading IT solutions Company, they are looking for Data Engineer to join their fast-growing company....",18 days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=10&vjk=006601ae00671cfb
19,data engineer,"Senior Systems Analyst, Data Engineer",Manulife,Hong Kong,"Design data flow in data lake platform. Develop, maintain and test data pipeline, application framework, infrastructure for data generations....",18 days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=10&vjk=733a2b206975283c
20,data engineer,Senior Data Engineer / Data Architect,Kai OS Technologies (Hong Kong) Limited,Hong Kong,"At least 7 years of experience in data engineer role or equivalent. Build robust data pipelines that collect, process, and compute business metrics from...",16 days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=10&vjk=8ea168b4c7205ab4
21,data engineer,Svc Info Developer II,DXC,Hong Kong,"Interacts with the Client and project roles (e.g., Project Manager, Business Analyst, Data Engineer) as required, to gain an understanding of the business...",18 days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=10&vjk=7e7b21cde8fa7f32
22,data engineer,Data Scientist and Data Engineer,Robert Walters,Hong Kong Island,"For Data Engineer, they should possess good spark / hadoop for building the data pipeline. A reputable retail bank is now hiring a data scientist as well as a...",23 days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=10&vjk=ea4d3a9ed15ad55c
23,data engineer,Delivery Engineer,Cogs Agency,Hong Kong,"Data Engineer, CRM Technology. Be the Data Expert to provide consultations on big data, cloud technologies, data management, etc....",23 days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=10&vjk=1d9b7e0fd6f0fc61
24,data engineer,Advisory - Data & Analytics - Data Engineer,EY,Hong Kong,Information Architect / Data Architect / Big Data Architect. You will be an accomplished consultant and enjoy helping provide strategic solutions around all...,30+ days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=10&vjk=632b6f88f7121090
25,data engineer,"Vice President, Market Data Engineer, Chief Technology Office",Bank of America,Hong Kong,"Vice President, Market Data Engineer, Chief Technology Office. Data Networks and Security knowledge. Coordinate with and escalate to market data vendors and...",30+ days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=10&vjk=27dbb8880bf5e9b3
30,data engineer,"Director, Data Engineering",Manulife,Hong Kong,The Data Engineer has primary responsibility for:. Modern Data Architecture:. The Data Engineer is responsible for developing and implementing a strategic...,30+ days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=20&vjk=73156f47e2832d62
31,data engineer,Data Engineer (Big Data),Keyteo,Hong Kong Island,-Have hands-on experience with schema design and data modelling._. -You may even be a software engineer with a focus or passion for data-driven solutions._....,30+ days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=20&vjk=yteo/jobs/Data-E
32,data engineer,Senior Big Data Support Engineer,Elite Group Asia,Hong Kong,"Senior Big Data Support Engineer. 2+ years’ experience as big data engineer and/or developer. Research, analytical and problem-solving skills required to work...",30+ days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=20&vjk=43bcc47e821de3b3
33,data engineer,Software Engineer / Data Engineer,Throput Limited,Hong Kong Island,"Work experience in software development or data analysis; We also provide R&D outsourcing and IT architecting services in cloud, big data, and AI....",30+ days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=20&vjk=roput-Limited/jo
34,data engineer,Data Engineer,PEOBASE Limited,Hong Kong,"Passionate in data management, data analysis and business intelligence. Support the analysis work by building the conceptual model, data model and executing...",30+ days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=20&vjk=97adc5bb1d9a70e6
35,data engineer,Data Engineer/ Scientist - Data Modelling,Michael Page,Kowloon,"You will be required to develop data models, and perform data cleaning, data audit and mass/ raw data analytic duties throughout the life-cycle....",30+ days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=20&vjk=ed09022684ce4b82
36,data engineer,Data Scientist/Analyst - Product Team,Crypto.com,Hong Kong Island,"Big Data, Blockchain. Lead the data strategy of product engineering, influencing them to make well-informed architecture and design decisions that affect data....",30+ days ago,https://www.indeed.hk/jobs?q=%22data+engineer%22&sort=date&start=20&vjk=57e8cb43fde1b413
43,senior data engineer,"Senior Data Engineer - HSBC Operations, Services and Technology",HSBC,"Kowloon City, Kowloon",We are currently seeking a high caliber professional to join our team as Senior Data Engineer . Provide consultancy and expertise in the Data and System...,7 days ago,https://www.indeed.hk/jobs?q=%22senior+data+engineer%22&sort=date&start=0&vjk=1bb8ce1f79634b42
44,senior data engineer,Senior Data Engineer / Data Architect,Kai OS Technologies (Hong Kong) Limited,Hong Kong,"At least 7 years of experience in data engineer role or equivalent. Build robust data pipelines that collect, process, and compute business metrics from...",16 days ago,https://www.indeed.hk/jobs?q=%22senior+data+engineer%22&sort=date&start=0&vjk=8ea168b4c7205ab4
