,Job_Category,Job_Title,Company_Name,Location,Summary,Date,URL
0,Data Scientist,Data Scientist / Junior Data Scientist,Charterhouse Partnership,Hong Kong,Experience in working with Big Data would be an advantage. Work across multiple functional teams to achieve end-to-end data driven solutions....,Just posted,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcw6uW6vgTZLgXhKeDx6fWYiIsrhrOCmmi-kuMA86N0TJ64iI3Njweal_jk-s2j0NYdhdSz1t7Op734Vx2pgYs5n92-7kFqfFVGKDAtcfmyRlOarjmcgLvtVw705_8ndIwGKiziNFC00ur97xhsheRGcSAnXwepvLUrxd-hrWxAZs1WhO7XKUyk8u7mTcs3LSHfhmkCRTTqJugD0KdjFbEPpXZEZNr7LEbNJHftDw9cUNfaOLSv0Uuco85Ua_ccxgFROWACt4ZMAq1dIjSClDAi1dikIjpp1XiGPNAAOs6WCIvkiCAapdC-s9niZNzA_BXnMPwttG_J6TC-0ecwCffi3UMJAAOvvVA-Iqz52RHYEtp6rAmLrE_UNKCqNB8KYHXUKskfl9-ffpoWdoVy5L_EtIG-qfIROhqK75We1V6HMdXUtRXG0MDCB5qzDtBMnE5LyOR8y1DZmTVk48yTA_l1NuNz59QbhJra10-TvxSuQsqiddfMIq6oDxX9JcNpF6MwznUHihlPW6ljWKR2k3tH-7OPPn5BBFVTgsUnIbE9ww09X9ImFGxpY5VEa7wPBsAEYkONt1ZftOy1RjowVb9jy&vjs=3&p=1&sk=&fvj=0
1,Data Scientist,"Multiple Quants / Data Scientists – Machine Learning - Artificial Intelligence – credit, rates, bonds [bonds rv], equities, FX, volatility trading - Big Data",BAH Partners,Hong Kong,Experience with Big Data. 2-8 years years of experience working as a quantitative analyst or data scientist in any area....,2 days ago,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9s9TFiKNzkgpJhS0gcoCqHE2AnYB4vQTO5n3BvDZ-_a_t849NWXuG_B70kerQuwJsF44tNmcbZDCzP28VxXoaNy7dSAzQmZlsjKxbXDML-uIBF3h6AkYS9E2XuqqHLE9catVGIMSw7sfL0wlH3s0mM_UGRrdwo6tOf5lg8fRlDzzmvHksx2KtjgmbyFpcHkGBI3BfmJCSlMChRz1AaWYLiB1A0cQAu1hhQ_iecXZ_vKGKthDAGNRv_7Kqj_2IXE9q4BtdFCZjVmCJqW4bcAbPmRJChAZAu1YghT_ZezkzQEetgpvhcJ4v3PwEFPqCQi7byA8y3a6ks1iwerQeW0ztmrfOdtEUGJDvhXzdOTgdK3u96WAKaefIClhNSE1dkOtDsWkS8jM3IUixrkx9n2oTuCywvsI1lthZ4e2kMKXLdmCehFr7S6ntGcl9_b365qaOkR-nwUIEmoNKTwvk688d1EtcVr4V6ltQ48LPAbiMqpm2U9M-zbM82KlcqqwNW_4VnL2dIsfh25Hk9tqr2Lndga-6jpaxS1VJmzFm36hrCcAqElcAEK1sO1sgkhC46mBCQAoNChUlJbGyP2WGetbfRlDoVweKM7lQ6i2T4UqTqYdzi3CCvklaXQ_i4BFGNpfIY229QH-_ZatpfUXKrFZEHcH6fD7wDWHIK-wj1SyN2-JqWbZ77dHciyowGVBOW5RbGoDGMT66kBNDozU5SDQd_xCbMA6ZtO6dG2maTHVWbth_YmZShBGRE1rdf-xg8aKlyAm3zBHI8CsX90vOIqXZF7fQpPrhr2oh8P8ARbnXqEDGvz8IzgowIhTEciiqDHn4ecO8JFAeAowMHFJ3RXYPz1kLZMBxg7Q3yiTGstfMEslrDnVCrynkZJj4vhiVKDJQUXABweW3qg7oJdiR25pJHC35q7qrTwUwUYanHBiJocrsSiG6eTiLErFW-s_mX111ZDCF6FFKaguZ8XbrGRxAAIYDvREDwMDGg==&vjs=3&p=2&sk=&fvj=0
2,Data Scientist,Senior Business Strategy Manager / Business Strategy Manager (Data Scientist),Bank of China (Hong Kong) Limited,Hong Kong,"Data collected would be used for recruitment purposes only. Analyze structured and unstructured data, visualize findings, discover insights and propose new...",Just posted,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcw6uW6vgTZLgQc73asquLkGisx46wyCAhPsSBaz0S-0PLeYWkQ-GY4mcnFWPwj51_0Q-c3PGSp2kofVczWFB9nM2gNm2h2_n7_aSB4Vpsjp1x0AqSHVW6mnWGROOWcuY8Da2jrd0gLjyEiXuqWgwM5CDx_sb172QTWEFHzX8O6iP92Y69mTSFMdn2jz0lI8x7Wenfpb27jKIhXQc1VEMozfCboqNxbN0E5veGNzpC5yyU8ZD0S65j2iEJHM2-8hx0l3QBga_bnoitIjLBsaj2WFP7fAmUWT9yvkrMu09q2pQ4WluiYGznyz8a30Y_HERNfHkZSM1mk45NdxBJpdJS1xDuzcur9fjf6Iz77TdT4Byv1CDKjJ7p8iFkZY4tQcz6bcY--tOIrG5pBTK2xBQlYlefteesmSvHvdOS4MUrCZgAY3wgPXu0bOFrGcHGxid9GG2a23-XwKGFY-UYinbAxI1Al6rASk508UllYndCz_-lzLCIoTqV0Mz2__G3ysVq_TVpzJFwgBG_v-k3Mavn4EzCxTQfX1qyhs3o4M3Wx3JNfNgXncoc4HD0qmHblsAG0-t4VRa2zxrtpPjV49-NDx&vjs=3&p=3&sk=&fvj=0
4,Data Scientist,Data Scientist,South China Morning Post Publishers Limited,"Causeway Bay, Hong Kong Island",Create data tools to help streamline and automate workflows for Data Analytics & Insights team. Enhance data collection processes to include data from 1st and...,2 days ago,https://www.indeed.hk/rc/clk?jk=5a1976083411ead8&fccid=dd616958bd9ddc12&vjs=3
5,Data Scientist,Data Scientist,AXA,Hong Kong,Data Scientist (180003VK). Big data/ Data Modelling. 3+ years of relevant working experience in data analytics field as statistician / analyst / data scientist....,3 days ago,https://www.indeed.hk/rc/clk?jk=b3b7b9e98a61c1fa&fccid=753062d67d31c43a&vjs=3
6,Data Scientist,Data Scientist / Computational Scientist,Cluster Technology Ltd,Hong Kong,"Utilize user characteristics and behavior data, financial data to do data mining and model building analysis; Knowledge on data structure and algorithm;...",3 days ago,https://www.indeed.hk/rc/clk?jk=7c4e3ed4b7d830af&fccid=f1943ec5b4031bab&vjs=3
7,Data Scientist,Data Science Manager,AXA,Hong Kong,5+ years of relevant working experience in data analytics field as statistician / analyst / data scientist. Ability to perform the big data analytics processes...,3 days ago,https://www.indeed.hk/rc/clk?jk=93f3370578599ae8&fccid=753062d67d31c43a&vjs=3
8,Data Scientist,AI Data Scientist (Strong Programming Required - C++/Java/Python),Risksis Technology Limited,Hong Kong,Big Data) collected in business operations and in daily lives.We offer online platforms for different verticals using our proprietary big data technologies so...,4 days ago,https://www.indeed.hk/rc/clk?jk=1d145e126e524ee9&fccid=004a3c8ab34d1b62&vjs=3
9,Data Scientist,Bank Data Scientist,Conners Recruitment,Hong Kong,Deep knowledge and proven track record of analyzing Big Data or multiple sources data. Design and implement big data analytics projects....,4 days ago,https://www.indeed.hk/rc/clk?jk=c5fab6eadf872dc9&fccid=5f9b20609e6ef115&vjs=3
10,Data Scientist,Data Scientist,Hotmob Limited,Hong Kong,"Architect, implement and deploy new data models and data processes in production. Enhance data collection processes to include data from 1st and 3rd party...",4 days ago,https://www.indeed.hk/rc/clk?jk=a59b9777a43f6a69&fccid=84730bf136145336&vjs=3
